ts_code,exchange,question_id,question_time,answer_time,question,answer,answer_class,theme,story_read,proof_needed,credibility,source_url,source_type
601689.SH,sse,1721724,2026-05-13,2026-06-24,董秘您好，请问公司有翻板铣和镜像铣产品吗？谢谢。,公司具备全栈自研的机械、电控、电机、精密加工等核心能力，可根据客户需求与行业技术趋势开展相关产品与技术的研发工作。关于特定产品的研发进展、技术参数、客户配套等具体信息，属于商业机密范畴，公司严格按照相关要求予以保密，相关可披露信息请以公司定期报告及官方公告为准。,non-committal,unclassified,official interaction without a mapped investable theme,manual review required,weak-official-signal,https://sns.sseinfo.com/company.do?stockcode=601689,sse_e_interaction
601689.SH,sse,1718412,2026-05-11,2026-06-24,董秘你好，我是公司百万级长期重仓股东。公司海外生产基地布局，是否已提前为远期机器人等智能硬件业务的海外落地，做产能、供应链的配套预留？,公司全球化产能布局稳步推进，波兰工厂现有产线正常运营，二期正在筹划扩建，进一步承接欧洲本土订单；泰国一期工厂按计划建设推进，将于2026年投产并逐步爬坡放量。海外基地整体遵循先投产、再爬坡、后稳步贡献产能的节奏，各基地建设进度、产能释放规划及具体经营财务数据，请大家详细参阅公司2025年年度报告。,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://sns.sseinfo.com/company.do?stockcode=601689,sse_e_interaction
601689.SH,sse,1712727,2026-04-29,2026-06-24,汽车零部件业务承压，机器人业务蹭特斯拉概念，几乎没有业绩？公司还有像样的业务？不谈未来预期，还有增长点吗？,尊敬的投资者您好，公司生产经营整体稳健，2025 年实现营业收入 295.81 亿元，同比稳步增长，主营汽车底盘、热管理、内饰等传统业务依托国内外优质车企定点订单持续贡献稳定营收与利润，是公司扎实的基本盘。2025 年相关营收在年报中已披露；除原有汽车主业外，新兴业务如车规级制氧新业务有序落地推进，后续将逐步形成新增业绩增长点，详细经营数据与业务进展请参阅公司定期报告及官方披露公告。,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://sns.sseinfo.com/company.do?stockcode=601689,sse_e_interaction
601689.SH,sse,1711433,2026-04-27,2026-06-24,公司是特斯拉一级供应商吗？一年的供货金额是多少？,您所询问的相关信息属于公司未公开的经营信息/商业机密范畴，公司严格按照监管要求与信息披露规则，仅在指定官方平台发布可披露的经营信息，相关内容请以公司在上交所、证监会指定平台发布的定期报告及正式公告为准，敬请理解。,non-committal,unclassified,official interaction without a mapped investable theme,manual review required,weak-official-signal,https://sns.sseinfo.com/company.do?stockcode=601689,sse_e_interaction
601689.SH,sse,1710318,2026-04-24,2026-06-24,1.贵司董秘应该是忙！众多投资者的问题积压了几个月了，没见到回复过！ 2.贵司是否有做市值管理计划，具体是如何计划？已经连续跌了4个月了，套现完就不管了吗？ 3.是否有商业航天的业务计划？,尊敬的投资者您好，公司股价受宏观经济、行业周期、市场情绪等多重因素综合影响，公司管理层始终专注于主业经营，扎实推进各项战略落地，持续提升公司核心竞争力与长期内在价值，以稳定的经营业绩回报广大投资者。关于市值管理，公司严格遵守监管相关规定，合规开展投资者关系管理工作，及时、公平、准确地履行信息披露义务，保障投资者的知情权。,substantive,commercial-space,space linkage / investee optionality,"ownership, monetization, or investee milestone still needs filing support",higher-official-signal,https://sns.sseinfo.com/company.do?stockcode=601689,sse_e_interaction
601689.SH,sse,1700676,2026-04-10,2026-06-24,您好，请问一下贵公司最新的股东人数有多少呢？,尊敬的投资者您好，股东人数请参阅公司发布的定期报告.,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://sns.sseinfo.com/company.do?stockcode=601689,sse_e_interaction
601689.SH,sse,1700243,2026-04-09,2026-06-24,公司上市以来，不太考虑投资者的利益，分红太少，在股市融资金额不少，高管应该多考虑一下投资者的利益,非常感谢您的关注与宝贵建议，公司始终高度重视全体股东的合理诉求与投资回报，严格遵守监管要求，持续建立并完善稳定、科学的股东回报机制。公司始终坚持稳健的现金分红政策，现金分红比例均保持在 30% 以上，持续以真金白银的方式回报全体股东，与投资者共享公司经营发展的成果。除稳定的现金分红外，公司也始终专注主业深耕，持续提升核心技术壁垒与全球市场竞争力，通过稳健的经营发展、持续的价值创造，为股东带来长期稳定的投资回报。公司相关分红安排均会严格履行法定审议程序并及时通过官方渠道公告，请各位投资者以公司披露的定期报告与官方公告信息为准。,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://sns.sseinfo.com/company.do?stockcode=601689,sse_e_interaction
601689.SH,sse,1694334,2026-03-30,2026-06-17,公司不做市值管理？股价跌的找不到北了！减持造成的，能不能稍微格局一下，股价涨一点就减持，小公司做法吗？,公司股价受宏观经济、行业周期、市场情绪等多重因素综合影响，公司管理层始终专注于主业经营，扎实推进各项战略落地，持续提升公司核心竞争力与长期内在价值，以稳定的经营业绩回报广大投资者。关于市值管理，公司严格遵守监管相关规定，合规开展投资者关系管理工作，及时、公平、准确地履行信息披露义务，保障投资者的知情权。,substantive,buyback-shareholder-return,shareholder-return / valuation-support narrative,"needs board approval, execution, and funding visibility",higher-official-signal,https://sns.sseinfo.com/company.do?stockcode=601689,sse_e_interaction
601689.SH,sse,1694338,2026-03-30,2026-06-17,目前的股价已经反映了你公司实力不行，在资本市场三花智控永远比你牛！你好好学习一下吧！,尊敬的投资者您好，公司股价受宏观经济、行业周期、市场情绪等多重因素综合影响，公司管理层始终专注于主业经营，扎实推进各项战略落地，持续提升公司核心竞争力与长期内在价值，以稳定的经营业绩回报广大投资者。,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://sns.sseinfo.com/company.do?stockcode=601689,sse_e_interaction
601689.SH,sse,1692500,2026-03-25,2026-06-17,请问贵公司海外建厂顺利吗？国内外机器人业务是否有进展？,尊敬的投资者您好，公司全球化产能布局稳步推进，波兰工厂现有产线正常运营，二期正在筹划扩建，进一步承接欧洲本土订单；泰国一期工厂按计划建设推进，将于2026年投产并逐步爬坡放量。海外基地整体遵循先投产、再爬坡、后稳步贡献产能的节奏，各基地建设进度、产能释放规划及具体经营财务数据，请详细参阅公司2025年年度报告。,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://sns.sseinfo.com/company.do?stockcode=601689,sse_e_interaction
