ts_code,exchange,question_id,question_time,answer_time,question,answer,answer_class,theme,story_read,proof_needed,credibility,source_url,source_type
300760.SZ,szse,2262722938913660928,2026-05-07,2026-05-19,18:53:52【全国首款 上海研发的医疗大模型产品进入国家创新医疗器械特别审查通道】财联社5月7日电，国家人工智能应用中试基地（医疗领域）中试推广的智能应用——胸部CT图像辅助诊断软件，近日成功进入国家药监局创新医疗器械特别审查程序。这是全国首款进入该审查通道的大模型多病种AI医疗产品，标志着医疗大模型在加速迈向临床规模化应用方面取得重要进展。你们怎么不这样做呢？,您好，谢谢关注。迈瑞是全球领先、创新驱动的世界级医疗器械企业及数智化医疗先行者。加快设备业务的数智化转型是公司业务发展战略，公司将研发投入战略性聚焦于推进高端产品线和打造数智医疗生态系统，加强产品及数智化解决方案创新。公司已经完成了“设备+IT+AI”的数智医疗生态系统搭建，以医疗物联网和设备融合创新为基础，“瑞智、瑞检、瑞影”专科信息系统为载体，并结合持续进化的启元AI垂域大模型，最终实现精准诊疗个体化，助力高水平医疗均质化，赋能医院管理精益化，开创数智医疗新范式。我们已相继推出了瑞智围术期决策辅助系统&启元围术期医学大模型、瑞智设备管理信息系统、启元超声大模型、启元检验大模型等。截至目前，迈瑞的启元大模型已拥有重症、围术期、医工、妇产、乳腺、检验等多款专科AI大模型，成为业内布局范围、临床应用深度处于行业前列的医疗垂域大模型厂家之一。谢谢。,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2262722938913660928,cninfo_irm
300760.SZ,szse,2255054601196875776,2026-04-27,2026-05-19,有没有颠覆性技术？,您好，谢谢您对公司的关注。迈瑞是全球领先、创新驱动的世界级医疗器械企业及数智化医疗先行者。公司保持高研发投入，坚持将每年营收的约10%投入研发，研发投入比例和规模均在医疗器械企业中处于领先地位。公司不断丰富设备和耗材类产品，推动AI创新与融合创新，在高端市场不断实现突破。加快设备业务的数智化转型是公司业务发展战略，公司将研发投入战略性聚焦于推进高端产品线和打造数智医疗生态系统，加强产品及数智化解决方案创新。谢谢。,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2255054601196875776,cninfo_irm
300760.SZ,szse,2250957803691913216,2026-04-21,2026-05-19,"董秘您好，
请问公司目前是否有股份回购相关的计划或预案？如果暂无相关安排，能否说明主要考虑因素？
感谢您的回复。",您好，公司如果未来有新的回购计划，公司会根据相关法律法规进行披露。谢谢。,substantive,buyback-shareholder-return,shareholder-return / valuation-support narrative,"needs board approval, execution, and funding visibility",higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2250957803691913216,cninfo_irm
300760.SZ,szse,2250876457011326976,2026-04-21,2026-05-19,现在你们国外业务加速，希望你们加快外国本地的收购兼并，有利于国际版图扩大,您好，谢谢关注。外延式并购一直是迈瑞的增长立足点之一。自2008年启航全球并购之路以来，国内外的多笔并购让迈瑞在核心技术、营销平台和供应链平台的加强，以及新业务拓展上获得了极大提升。迈瑞由此不断构建和夯实全球研发、营销和供应链平台，同时积累了丰富的并购经验，在并购效率、标的数量特别是整合深度上均领先国内同行，获得了超越同行的产业并购整合经验和能力。 最近几年公司的并购步伐显著加快了，但需要强调的是，迈瑞的并购并不是一味追求扩大收入、增加利润，而是主要从主营业务补强、全新业务探索、海外市场拓展等战略方向着手，通过并购的方式快速整合全球范围内的全产业链前沿技术，提升现有业务在高端市场的综合竞争力，加快成长型业务的发展速度，加速布局海外的生产供应链体系。未来，迈瑞将发挥平台优势，紧抓内部研发创新和外部并购整合两条路径，继续围绕战略发展方向，积极但有节奏地探索对外投资并购的机会，加快掌握核心技术，保障供应链稳固，提升国产医疗器械的整体竞争力。谢谢。,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2250876457011326976,cninfo_irm
300760.SZ,szse,2259422986663833600,2026-05-03,2026-05-13,坚持价值、保持耐心、强化运营、审慎扩张，以卓越现金流与最强资产负债表，为股东创造长期复合回报。希望迈瑞成为这样的全球化运营公司。,您好，谢谢您的关注和支持，谢谢。,directional-but-unquantified,unclassified,official interaction without a mapped investable theme,manual review required,medium-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2259422986663833600,cninfo_irm
300760.SZ,szse,2251530958487629824,2026-04-22,2026-05-13,请问你如何看待脑机接口，谢谢,您好，谢谢关注，公司目前不涉及问题中提到的业务，谢谢。,directional-but-unquantified,unclassified,official interaction without a mapped investable theme,manual review required,medium-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2251530958487629824,cninfo_irm
300760.SZ,szse,2256549284175622144,2026-04-29,2026-05-13,公司在多种场合下说2026年全年国内正增长，但一季度国内营收下跌了11.13%。请说说你们判断2026年全年国内正增长的依据？,您好，谢谢关注。2026年一季度公司国内业务实现收入39.03亿元，同比下降11.13%。现阶段，医疗机构普遍面临经营承压、采购预算收紧的现状，医疗设备行业整体仍处于弱复苏周期。公司持续重点推进双大客户深度突破，体外诊断板块的市占率稳步提升。自MT 8000全实验室智能化流水线上市后，公司流水线的装机加速，过去两年多在国内累计装机已达500条，这为后续的试剂上量奠定了坚实基础，一季度国内体外诊断收入已占到国内营收的一半。同时，国内新兴业务增长势能强劲，一季度同比增长超过18%，占国内营收比例达到23%。体外诊断与新兴业务合计占国内收入的七成以上，已成为拉动国内业务增长的重要基本盘。展望全年，2026年全年国内业务有望重回正增长，2027年及以后，国内业务将迈入稳健高质量的持续快速增长通道。以上内容不构成业绩承诺，市场有风险，投资需谨慎。谢谢。,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2256549284175622144,cninfo_irm
300760.SZ,szse,2256828817827115008,2026-04-29,2026-05-13,你好，一季度公司的毛利率61.84%，较去年四季度54.64%有很大的提升。问题是公司25年也出现过类似的情况，一季度毛利回升，但后来又掉下来了，想问问是什么原因造成的？接下来毛利率在跌回去年四季度水平的概率大吗，还是说基本维持现在或更高的水平。,您好，谢谢关注。2025 年净利润率下降，其中最核心的影响因素是毛利率下降了，这背后是因为国内业务三大产线毛利率均因产品价格下降而出现了不同程度的下降，但国际业务毛利率维持平稳。国内产品价格下降主要受医院采购预算缩减、竞争环境激烈、医保持续深化改革等因素影响。除此以外，公司还在持续加大国际业务的市场投入力度，研发费用率在确保重点研发项目的投入得到保障的基础上也有所提升，此外，汇兑损失也对利润率造成了一定影响。 2026 年，随着肿标甲功试剂集采开始执行，公司预计毛利率还会略受影响，同时根据各国立法的全球最低税规则，迈瑞的所得税有效税率需不得低于 15%（预计今年年内开始执行），以及潜在的美元贬值带来的汇兑损失。考虑到这几个因素，2026年利润率预计会有小幅下降，但下降幅度将显著收窄。谢谢。,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2256828817827115008,cninfo_irm
300760.SZ,szse,2262587071890927616,2026-05-07,2026-05-13,公司还会重新在港交所提交上市申请吗？,您好，谢谢关注。公司已于2025年11月10日向香港联交所递交了本次发行并上市的申请，并于同日在香港联交所网站刊登了本次发行并上市的申请资料。根据香港联交所的相关要求，公司于2026年5月11日向香港联交所更新了发行申请及部分公司信息和财务数据等，并于同日在香港联交所网站刊登了相关更新文件。公司本次发行并上市尚需取得中国证券监督管理委员会、香港证监会和香港联交所等相关政府机关、监管机构、证券交易所的批准、核准或备案，一切关于上市的进展信息，请以公司后续发布的公告为准。谢谢。,non-committal,unclassified,official interaction without a mapped investable theme,manual review required,weak-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2262587071890927616,cninfo_irm
300760.SZ,szse,2263572921531473920,2026-05-08,2026-05-13,汉坦病毒的检测器械你们有生产吗,您好，谢谢关注，公司不涉及问题中提到的业务，谢谢。,directional-but-unquantified,unclassified,official interaction without a mapped investable theme,manual review required,medium-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2263572921531473920,cninfo_irm
