ts_code,exchange,question_id,question_time,answer_time,question,answer,answer_class,theme,story_read,proof_needed,credibility,source_url,source_type
300723.SZ,szse,2327760099403485184,2026-08-03,2026-08-06,董秘您好！AR882原计划2026Q2在美国提交NDA，国内同步提交NDA。请问目前进展如何？,"尊敬的投资者您好，感谢您对公司的关注。根据Sobi®（STO: SOBI）披露的AR882治疗痛风的 pivotal III期REDUCE 2研究结果，2025年5月AR882全球关键性Ⅲ期REDUCE 2研究取得了阳性顶线结果。安全性特征与既往研究一致。具体内容可参考Sobi披露的具体结果。
目前，AR882在国内正在进行关键性Ⅲ期临床试验，试验进展顺利。公司将严格按照相关法律法规要求履行信息披露义务。
此外，药品研发具有周期长、投入高、风险大等特点，敬请广大投资者谨慎决策，注意投资风险。祝您投资愉快。",directional-but-unquantified,unclassified,official interaction without a mapped investable theme,manual review required,medium-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2327760099403485184,cninfo_irm
300723.SZ,szse,2325147599646347264,2026-07-30,2026-08-06,董秘您好，作为公司长期股东，持续关注 AR882 痛风药三期临床试验进展。请问该项目目前是否按计划正常推进？如项目完成数据库锁库、统计分析等关键里程碑，公司是否会第一时间发布临时公告告知广大投资者，谢谢。,"尊敬的投资者您好，感谢您对公司的关注。根据Sobi®（STO: SOBI）披露的AR882治疗痛风的 pivotal III期REDUCE 2研究结果，2025年5月AR882全球关键性Ⅲ期REDUCE 2研究取得了阳性顶线结果。安全性特征与既往研究一致。具体内容可参考Sobi披露的具体结果。
目前，AR882在国内正在进行关键性Ⅲ期临床试验，试验进展顺利。公司将严格按照相关法律法规要求履行信息披露义务。
此外，药品研发具有周期长、投入高、风险大等特点，敬请广大投资者谨慎决策，注意投资风险。祝您投资愉快。",directional-but-unquantified,unclassified,official interaction without a mapped investable theme,manual review required,medium-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2325147599646347264,cninfo_irm
300723.SZ,szse,2318970182592741376,2026-07-22,2026-08-06,请问AR882三期结果什么时候出来？上次回复说2026年6月中下旬，现在已经过去了半个多月了，进展如何？是结果不理想选择不公布？,"尊敬的投资者您好，感谢您对公司的关注。根据Sobi®（STO: SOBI）披露的AR882治疗痛风的 pivotal III期REDUCE 2 研究结果，2025年5月AR882全球关键性Ⅲ期REDUCE 2研究取得了阳性顶线结果。安全性特征与既往研究一致。具体内容可参考Sobi 披露的具体结果。
目前，AR882在国内正在进行关键性Ⅲ期临床试验，试验进展顺利。此外，药品研发具有周期长、投入高、风险大等特点，敬请广大投资者谨慎决策，注意投资风险。祝您投资愉快。",directional-but-unquantified,unclassified,official interaction without a mapped investable theme,manual review required,medium-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2318970182592741376,cninfo_irm
300723.SZ,szse,2328907199155744768,2026-08-04,2026-08-05,为何疼风药国内三期依然还在试验，那么久了，可否出来解释一下,"尊敬的投资者您好，感谢您对公司的关注。2025年11月，公司在研的痛风创新药AR882（氘泊替诺雷）国内Ⅲ期临床试验完成全部患者入组。目前，正在进行关键性Ⅲ期临床试验，试验进展顺利。
此外，药品研发具有周期长、投入高、风险大等特点，敬请广大投资者谨慎决策，注意投资风险。祝您投资愉快。",directional-but-unquantified,unclassified,official interaction without a mapped investable theme,manual review required,medium-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2328907199155744768,cninfo_irm
300723.SZ,szse,2328922678331035648,2026-08-04,2026-08-05,可以透露目前疼风药三期处于哪个阶段？是数据整理还是，入组病人还没吃完药,"尊敬的投资者您好，感谢您对公司的关注。2025年11月，公司在研的痛风创新药AR882（氘泊替诺雷）国内Ⅲ期临床试验完成全部患者入组。
目前，正在进行关键性Ⅲ期临床试验，试验进展顺利。
此外，药品研发具有周期长、投入高、风险大等特点，敬请广大投资者谨慎决策，注意投资风险。祝您投资愉快。",directional-but-unquantified,unclassified,official interaction without a mapped investable theme,manual review required,medium-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2328922678331035648,cninfo_irm
300723.SZ,szse,2327945616220868608,2026-08-03,2026-08-04,AR882三期临床已经到八月份了，去年十一月最后一组入组，到5月份应该已经结束了，请问进度如何，预计八月份能揭盲吗？,"尊敬的投资者您好，感谢您对公司的关注。2025年11月，公司在研的痛风创新药AR882（氘泊替诺雷）国内Ⅲ期临床试验完成全部患者入组。目前，正在进行关键性Ⅲ期临床试验，试验进展顺利。
此外，药品研发具有周期长、投入高、风险大等特点，敬请广大投资者谨慎决策，注意投资风险。祝您投资愉快！",directional-but-unquantified,unclassified,official interaction without a mapped investable theme,manual review required,medium-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2327945616220868608,cninfo_irm
300723.SZ,szse,2327782261469057024,2026-08-03,2026-08-04,您好！请问截至7月底公司股东人数是多少，谢谢！,"尊敬的投资者您好，感谢您对公司的关注。截止至2026年7月31日，公司股东总户数32,828户。祝您投资愉快。",substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2327782261469057024,cninfo_irm
300723.SZ,szse,2312096027305951232,2026-07-12,2026-08-03,请问贵公司截止到七月十日股东人数是多少啊？谢谢,"尊敬的投资者您好，感谢您对公司的关注。截止至2026年7月31日，公司股东总户数32,828户。祝您投资愉快。",substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2312096027305951232,cninfo_irm
300723.SZ,szse,2323547140213035008,2026-07-28,2026-08-03,董秘你好，股东人数？,"尊敬的投资者您好，感谢您对公司的关注。截止至2026年7月31日，公司股东总户数32,828户。祝您投资愉快。",substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2323547140213035008,cninfo_irm
300723.SZ,szse,2319654903498686464,2026-07-23,2026-08-03,请问截止2026年7月20日公司股东人数是多少？谢谢,"尊敬的投资者您好，感谢您对公司的关注。截止至2026年7月31日，公司股东总户数32,828户。祝您投资愉快。",substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2319654903498686464,cninfo_irm
