ts_code,exchange,question_id,question_time,answer_time,question,answer,answer_class,theme,story_read,proof_needed,credibility,source_url,source_type
601168.SH,sse,1727966,2026-05-21,2026-05-22,请问截止5月20日贵司的股东人数是多少？,您好！截止5月20日，公司股东总户数为15.66万户。,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://sns.sseinfo.com/company.do?stockcode=601168,sse_e_interaction
601168.SH,sse,1727984,2026-05-21,2026-05-21,请问贵司大股东增持计划完成了吗？,尊敬的投资者您好。公司控股股东相关增持计划正在实施中，如增持计划完成我们将及时公告。,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://sns.sseinfo.com/company.do?stockcode=601168,sse_e_interaction
601168.SH,sse,1727967,2026-05-21,2026-05-21,请问茶亭铜多金属矿勘探已经完成，何时能公布初步成果？,尊敬的投资者您好，感谢您的关注。目前茶亭铜多金属矿已完成全部钻孔施工工作，后续仍需开展样品测试、选矿试验、工业指标论证等相关工作，预计在2026年年底完成储量核实报告的编制工作，请以公司后续公告为准。,non-committal,unclassified,official interaction without a mapped investable theme,manual review required,weak-official-signal,https://sns.sseinfo.com/company.do?stockcode=601168,sse_e_interaction
601168.SH,sse,1752730,2026-06-22,2026-06-23,今年氟制冷剂大涨。请问贵司氟化工今年是否盈利会改善？,今年以来氟制冷剂价格上涨，客观上对同鑫化无水氟化氢生产及销售业务盈利修复有正面作用。具体盈利情况请您关注定期报告。,directional-but-unquantified,unclassified,official interaction without a mapped investable theme,manual review required,medium-official-signal,https://sns.sseinfo.com/company.do?stockcode=601168,sse_e_interaction
601168.SH,sse,1753474,2026-06-22,2026-06-23,一季度矿产铅同比下降19.54%，另外还有7种产品也下降，二季度以及后来产量能上来吗？,一季度矿产铅及部分产品阶段性下滑，主要与生产组织节奏有关，属于阶段性波动，不会影响公司全年排产计划。公司将严格按年度计划推进，具体产量请以公司即将发布的定期报告为准。,non-committal,unclassified,official interaction without a mapped investable theme,manual review required,weak-official-signal,https://sns.sseinfo.com/company.do?stockcode=601168,sse_e_interaction
601168.SH,sse,1753239,2026-06-22,2026-06-23,您好，请问公司6月20日的股东人数是多少？谢谢！,您好！截止6月18日，公司股东总户数为14.71万户。,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://sns.sseinfo.com/company.do?stockcode=601168,sse_e_interaction
601168.SH,sse,1752729,2026-06-22,2026-06-23,请问截止6月20日，贵司的股东人数是多少？,您好！截止6月18日，公司股东总户数为14.71万户。,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://sns.sseinfo.com/company.do?stockcode=601168,sse_e_interaction
601168.SH,sse,1748224,2026-06-15,2026-06-17,玉龙四期规划4500万吨，如果满产的话，对应钼产量一年是不是7500吨？,尊敬的投资者您好。目前玉龙铜矿4500万吨项目仍在论证过程中，项目对应的经济指标、金属产出等数据，需待整体论证完成并履行相关流程后，统一依规对外披露。,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://sns.sseinfo.com/company.do?stockcode=601168,sse_e_interaction
601168.SH,sse,1747857,2026-06-15,2026-06-17,请问贵司1-5月份钼金属产量有多少？,尊敬的投资者朋友，您好！非常感谢您关心公司钼金属生产经营情况。截至一季度末，公司矿产钼产量1095吨已在一季报中公开披露。上半年相关数据，敬请各位投资者关注公司后续披露的半年报。,directional-but-unquantified,unclassified,official interaction without a mapped investable theme,manual review required,medium-official-signal,https://sns.sseinfo.com/company.do?stockcode=601168,sse_e_interaction
601168.SH,sse,1747856,2026-06-15,2026-06-17,请问贵司大股东增持目前进展如何？,尊敬的投资者您好。公司控股股东相关增持计划正在实施中，如增持计划完成我们将及时公告。,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://sns.sseinfo.com/company.do?stockcode=601168,sse_e_interaction
601168.SH,sse,1744282,2026-06-10,2026-06-11,请问截止6月10日贵司的股东人数是多少？,您好！截止6月10日，公司股东总户数为14.25万户。,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://sns.sseinfo.com/company.do?stockcode=601168,sse_e_interaction
601168.SH,sse,1745078,2026-06-10,2026-06-11,您好，请问公司6月10日的股东人数是多少？谢谢！,您好！截止6月10日，公司股东总户数为14.25万户。,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://sns.sseinfo.com/company.do?stockcode=601168,sse_e_interaction
601168.SH,sse,1736179,2026-06-01,2026-06-01,您好，请问公司5月底的股东人数是多少？谢谢！,您好！截止5月29日，公司股东总户数为14.74万户。,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://sns.sseinfo.com/company.do?stockcode=601168,sse_e_interaction
