ts_code,exchange,question_id,question_time,answer_time,question,answer,answer_class,theme,story_read,proof_needed,credibility,source_url,source_type
603986.SH,sse,1748619,2026-06-15,2026-07-14,股东人数是多少,感谢您的关注！公司将在2026年半年报中披露截至报告期末股东总数。,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://sns.sseinfo.com/company.do?stockcode=603986,sse_e_interaction
603986.SH,sse,1734400,2026-05-28,2026-07-14,公司累计研发投入持续增长，请问 2026 年公司的研发重点方向是什么？预计将有哪些重要的技术突破和新产品落地？,感谢您的关注！关于新产品方向，公司2025年年报中有披露，如DRAM的新产品包括LPDDR4小容量产品的量产、LPDDR5小容量产品的研发。具体内容详见2025年度报告第31页“经营计划”章节。,directional-but-unquantified,unclassified,official interaction without a mapped investable theme,manual review required,medium-official-signal,https://sns.sseinfo.com/company.do?stockcode=603986,sse_e_interaction
603986.SH,sse,1738121,2026-06-02,2026-07-14,请问，公司有没有定制存储业务？这块业务目前进展如何？主要的客户包括哪些？谢谢,感谢您的关注。公司的定制化存储业务主要面向端侧定制化推理领域的相关需求，为客户提供适配其需求的容量和带宽解决方案，目前定制化存储业务进展良好，在汽车座舱、AIPC、AI手机等诸多端侧均有项目开展中。,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://sns.sseinfo.com/company.do?stockcode=603986,sse_e_interaction
603986.SH,sse,1745663,2026-06-11,2026-07-14,随着数据中心市场对800G及1.6T光模块的需求加大，行业对于高速调制技术路线（如硅光、InP以及薄膜铌酸锂等）的关注度持续提升。请问公司目前在调制器技术上的主要选择是什么？是否对薄膜铌酸锂（TFLN）方向有相关技术储备或研发？,感谢您的关注！公司主要业务为存储器、微控制器、传感器和模拟芯片的研发、技术支持和销售。,directional-but-unquantified,compute-power,new-demand adjacency around power + computing infrastructure,"needs revenue, order, or project economics before valuation uplift",medium-official-signal,https://sns.sseinfo.com/company.do?stockcode=603986,sse_e_interaction
603986.SH,sse,1756097,2026-06-25,2026-07-14,今天很多论坛出现关于公司二季度的利润预测，为避免二级市场剧烈波动，请贵公司尽快对此做出澄清，谢谢,感谢您的关注！公司已发布2026年半年度业绩预增公告，具体内容请见《兆易创新科技集团股份有限公司2026年半年度业绩预增公告》（公告编号：2026-054）。公司营收、利润等情况请以公司披露信息为准。,non-committal,unclassified,official interaction without a mapped investable theme,manual review required,weak-official-signal,https://sns.sseinfo.com/company.do?stockcode=603986,sse_e_interaction
603986.SH,sse,1756990,2026-06-25,2026-07-14,请问公司持有长鑫储存 多少股份,感谢您的关注！目前公司于长鑫科技集团公司持股比例为1.8%（发行前）。公司对长鑫科技的相关投资计入“其他权益工具投资”科目核算，长鑫科技首次公开发行股票并上市所产生的公允价值变动对公司当期及以后年度的净利润无直接影响。,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://sns.sseinfo.com/company.do?stockcode=603986,sse_e_interaction
603986.SH,sse,1757387,2026-06-26,2026-07-14,十大流通股东是谁？,感谢您的关注！公司将在2026年半年报中披露截至报告期末前十大流通股东持股情况。,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://sns.sseinfo.com/company.do?stockcode=603986,sse_e_interaction
603986.SH,sse,1764696,2026-07-06,2026-07-14,你好，请问目前半年报预期增加多少，能否提前披露下？,感谢您的关注！公司已发布2026年半年度业绩预增公告，具体内容请见《兆易创新科技集团股份有限公司2026年半年度业绩预增公告》（公告编号：2026-054）。,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://sns.sseinfo.com/company.do?stockcode=603986,sse_e_interaction
603986.SH,sse,1764107,2026-07-06,2026-07-14,董秘，您好！根据相关规定，上市公司半年度业绩预告需在7月15日前有条件披露。请问贵公司预计何时披露2026年半年度业绩预告？以便投资者更好了解公司经营情况。感谢您的耐心解答！,感谢您的关注！公司已发布2026年半年度业绩预增公告，具体内容请见《兆易创新科技集团股份有限公司2026年半年度业绩预增公告》（公告编号：2026-054）。,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://sns.sseinfo.com/company.do?stockcode=603986,sse_e_interaction
603986.SH,sse,1766050,2026-07-08,2026-07-14,还不准备发点利好，比如业绩预告来提振与稳定一下股价吗,感谢您的关注！公司已发布2026年半年度业绩预增公告，具体内容请见《兆易创新科技集团股份有限公司2026年半年度业绩预增公告》（公告编号：2026-054）。,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://sns.sseinfo.com/company.do?stockcode=603986,sse_e_interaction
