ts_code,exchange,question_id,question_time,answer_time,question,answer,answer_class,theme,story_read,proof_needed,credibility,source_url,source_type
000636.SZ,szse,2332183219933663232,2026-08-09,,请问截止到7月31日公司股东人数是多少？谢谢,,unanswered,unclassified,official interaction without a mapped investable theme,manual review required,no-company-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2332183219933663232,cninfo_irm
000636.SZ,szse,2333827273171873792,2026-08-11,,请问董秘我司mlcc的原材料镍粉铜粉是否是向我司同一大股东旗下上市公司中金岭南旗下中金科技采购,,unanswered,unclassified,official interaction without a mapped investable theme,manual review required,no-company-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2333827273171873792,cninfo_irm
000636.SZ,szse,2330851462244323328,2026-08-07,,你好，公司MLCC供应商目前是否稳定？对于联瑞新材、天马新材等上游公司产品是否跟随市场行情涨价？,,unanswered,unclassified,official interaction without a mapped investable theme,manual review required,no-company-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2330851462244323328,cninfo_irm
000636.SZ,szse,2329421848020111360,2026-08-05,,钽电容紧缺到2028年，请问贵司有计划扩大钽电容的生产量吗？,,unanswered,unclassified,official interaction without a mapped investable theme,manual review required,no-company-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2329421848020111360,cninfo_irm
000636.SZ,szse,2327979984583495680,2026-08-03,,请问截止到7月31日公司股东人数是多少？谢谢,,unanswered,unclassified,official interaction without a mapped investable theme,manual review required,no-company-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2327979984583495680,cninfo_irm
000636.SZ,szse,2326062462040133632,2026-07-31,,公司祥和工业园区，是否能生产国际主流高端AI服务器用顶级高温高容小尺寸mlcc？在顶级产品方面，是否具备与村田制作所，三星电机等国际主流厂商竞争的能力？或者说有没有这方面的未来发展规划，技术储备，产品技术迭代研发，或者客户送样进展？,,unanswered,unclassified,official interaction without a mapped investable theme,manual review required,no-company-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2326062462040133632,cninfo_irm
000636.SZ,szse,2319200152356941824,2026-07-22,2026-07-27,董秘您好，上游国瓷材料近期官宣氧化锆粉体涨价，叠加AI高容MLCC行业紧缺，市场传闻公司MLCC产品计划开启新一轮调价。想求证网传涨价消息是否属实？若属实，高端算力、消费类MLCC调价幅度与执行时间能否介绍？上游原材料成本上行，公司后续定价策略是否会同步调整来传导成本压力，麻烦解答，谢谢。,您好，公司将根据市场供求情况、客户及产品结构等因素制定价格策略。感谢您的关注！,substantive,compute-power,new-demand adjacency around power + computing infrastructure,"needs revenue, order, or project economics before valuation uplift",higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2319200152356941824,cninfo_irm
000636.SZ,szse,2319088062153129984,2026-07-22,2026-07-27,你好！请问公司在高端mlcc的产能占比多少？有扩产计划吗？高端产品是否有涨价预期？谢谢！,您好，公司高端MLCC产品营收占MLCC产品总营收的比例约为35%-40%，占公司整体营业收入的比例约为 15%；公司将紧密结合行业和市场实际情况规划产能；公司将根据市场供求情况、客户及产品结构等因素制定价格策略。感谢您的关注！,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2319088062153129984,cninfo_irm
000636.SZ,szse,2310120874904154112,2026-07-10,2026-07-27,董秘您好，本人持有000636风华高科股票，申请查询2026年7月10日收盘股东总户数，用来对比6月30日31.26万户，查看监管警示后10个严管交易日筹码增减。附件上传本人身份证、持仓截图，麻烦核实股东身份后回复，谢谢。,"您好，为了平衡好投资者之间的差异化需求，公司仅回复每月末的股东户数。根据中国证券登记结算有限责任公司定期下发的股东名册，截至2026年6月30日，公司股东总户数为312,601户。感谢您的关注！",substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2310120874904154112,cninfo_irm
000636.SZ,szse,2303519183632453632,2026-07-01,2026-07-27,尊敬的上市公司您好:贵公司前两年扩产的项目是否达到了满产满销以及开工情况是多少呢？随着今年MLCC市场的供应紧张贵公司接下来是否有扩产计划？,您好，公司募投项目“祥和工业园项目“已全面达产，目前产品订单充足，产能利用率保持在较高水平，后续公司将紧密结合行业和市场实际情况规划产能。感谢您的关注！,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2303519183632453632,cninfo_irm
