ts_code,exchange,question_id,question_time,answer_time,question,answer,answer_class,theme,story_read,proof_needed,credibility,source_url,source_type
002487.SZ,szse,2288448797833232384,2026-06-11,,请问最近公司股票为什么一直下跌且跌幅这么大，公司发布的业绩及订单是否真实,,unanswered,unclassified,official interaction without a mapped investable theme,manual review required,no-company-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2288448797833232384,cninfo_irm
002487.SZ,szse,2288434289619050496,2026-06-11,,请问最新股东人数是多少？谢谢,,unanswered,unclassified,official interaction without a mapped investable theme,manual review required,no-company-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2288434289619050496,cninfo_irm
002487.SZ,szse,2286453691034959872,2026-06-08,,请问近一个月股价下跌不止，是否欧洲订单出了问题，希望及时如实向广大投资者批露。另外，中欧贸易摩擦是否已经对公司的发展产生了不利影响？,,unanswered,unclassified,official interaction without a mapped investable theme,manual review required,no-company-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2286453691034959872,cninfo_irm
002487.SZ,szse,2285701418903257088,2026-06-07,,当前股东人数多少？,,unanswered,unclassified,official interaction without a mapped investable theme,manual review required,no-company-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2285701418903257088,cninfo_irm
002487.SZ,szse,2284676742984065024,2026-06-06,,请问king  three运输船什么时间完成吉水？,,unanswered,unclassified,official interaction without a mapped investable theme,manual review required,no-company-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2284676742984065024,cninfo_irm
002487.SZ,szse,2284219629416333312,2026-06-05,,今年以来一直没看到公司发布新增欧洲订单的消息，是今年还没有接到欧洲订单吗，公司预计今年何时可以签定欧洲订单？,,unanswered,unclassified,official interaction without a mapped investable theme,manual review required,no-company-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2284219629416333312,cninfo_irm
002487.SZ,szse,2284217928807702528,2026-06-05,,公司联合正力改造3500吨风电安装船，改造周期多久，何时投入运行？,,unanswered,unclassified,official interaction without a mapped investable theme,manual review required,no-company-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2284217928807702528,cninfo_irm
002487.SZ,szse,2284216374029541376,2026-06-05,,请问曹妃甸基地排单情况如何？目前排单到什么时候？,,unanswered,unclassified,official interaction without a mapped investable theme,manual review required,no-company-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2284216374029541376,cninfo_irm
002487.SZ,szse,2283091556256038912,2026-06-03,,请问最近有外资投入你们股票吗,,unanswered,unclassified,official interaction without a mapped investable theme,manual review required,no-company-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2283091556256038912,cninfo_irm
002487.SZ,szse,2247557908942483456,2026-04-17,2026-06-08,请问最新股东户数是多少，谢谢,"尊敬的投资者，您好！截至2026年5月29日，公司股东户数54,457户。谢谢！",substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2247557908942483456,cninfo_irm
002487.SZ,szse,2244280642867781632,2026-04-12,2026-06-08,董秘您好！我想查询截至2026年4月10日公司最新股东人数？谢谢,"尊敬的投资者，您好！截至2026年5月29日，公司股东户数54,457户。谢谢！",substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2244280642867781632,cninfo_irm
002487.SZ,szse,2241800874660143104,2026-04-09,2026-06-08,请问4月10日股东户数是多少？谢谢,"尊敬的投资者，您好！截至2026年5月29日，公司股东户数54,457户。谢谢！",substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2241800874660143104,cninfo_irm
002487.SZ,szse,2260502837300797440,2026-05-04,2026-06-08,请问截至止2026年4月30日公司的股东总数是多少？谢谢,"尊敬的投资者，您好！截至2026年5月29日，公司股东户数54,457户。谢谢！",substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2260502837300797440,cninfo_irm
002487.SZ,szse,2250768397003628544,2026-04-21,2026-06-08,董秘您好！我想查询截至2026年4月20日公司最新股东人数？,"尊敬的投资者，您好！截至2026年5月29日，公司股东户数54,457户。谢谢！",substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2250768397003628544,cninfo_irm
002487.SZ,szse,2272115509652946944,2026-05-20,2026-06-08,请问！最新股东户数是多少！谢谢！,"尊敬的投资者，您好！截至2026年5月29日，公司股东户数54,457户。谢谢！",substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2272115509652946944,cninfo_irm
002487.SZ,szse,2263669456558596096,2026-05-08,2026-06-08,请问截止5月10日股东户数是多少，麻烦抽空查下，谢谢！,"尊敬的投资者，您好！截至2026年5月29日，公司股东户数54,457户。谢谢！",substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2263669456558596096,cninfo_irm
